id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId,last_updated
607011,20170731,1,900000000000207008,127319005,en,900000000000013009,Anemia due to alloimmune destruction of transfused red cells,900000000000448009,2025-11-24 11:08:13
607011,20230901,0,900000000000207008,127319005,en,900000000000013009,Anemia due to alloimmune destruction of transfused red cells,900000000000448009,2025-11-24 11:08:13
608018,20020131,1,900000000000207008,127320004,en,900000000000013009,Poisoning by arthropod bite,900000000000020002,2025-11-24 11:08:13
608018,20170731,1,900000000000207008,127320004,en,900000000000013009,Poisoning by arthropod bite,900000000000448009,2025-11-24 11:08:13
609014,20020131,1,900000000000207008,127321000,en,900000000000013009,Acute digestive system disorder,900000000000020002,2025-11-24 11:08:13
609014,20170731,1,900000000000207008,127321000,en,900000000000013009,Acute digestive system disorder,900000000000448009,2025-11-24 11:08:13
610016,20020131,1,900000000000207008,127322007,en,900000000000013009,Intestinal infection,900000000000020002,2025-11-24 11:08:13
610016,20170731,1,900000000000207008,127322007,en,900000000000013009,Intestinal infection,900000000000448009,2025-11-24 11:08:13
612012,20020131,1,900000000000207008,127324008,en,900000000000013009,Myoclonic disorder,900000000000020002,2025-11-24 11:08:13
612012,20170731,1,900000000000207008,127324008,en,900000000000013009,Myoclonic disorder,900000000000448009,2025-11-24 11:08:13
613019,20020131,1,900000000000207008,127325009,en,900000000000013009,Procedure related finding,900000000000020002,2025-11-24 11:08:13
613019,20170731,1,900000000000207008,127325009,en,900000000000013009,Procedure related finding,900000000000448009,2025-11-24 11:08:13
614013,20020131,1,900000000000207008,127326005,en,900000000000013009,Non-human disorder,900000000000020002,2025-11-24 11:08:13
